$nWebServers, $nDb, $nSearch, $uSess, $uBiz, $uSearch, $uDb
10, 1, 1, 9.94112, 0.834225, 7.14631e-005, 0.821825
20, 1, 1, 19.7064, 0.907073, 7.7278e-005, 0.888697
10, 1, 1, 9.94388, 0.834266, 7.14664e-005, 0.821864
20, 1, 1, 19.7218, 0.907141, 7.72837e-005, 0.888762
10, 1, 1, 9.94645, 0.834305, 7.14695e-005, 0.8219
20, 1, 1, 19.7361, 0.907203, 7.72889e-005, 0.888822
10, 1, 1, 9.94885, 0.834341, 7.14724e-005, 0.821933
20, 1, 1, 19.7492, 0.907261, 7.72937e-005, 0.888877
10, 1, 1, 9.95109, 0.834374, 7.14751e-005, 0.821964
20, 1, 1, 19.7607, 0.907311, 7.72979e-005, 0.888925
10, 1, 1, 9.95318, 0.834406, 7.14777e-005, 0.821993
20, 1, 1, 19.7721, 0.907361, 7.7302e-005, 0.888973
10, 1, 1, 9.95515, 0.834435, 7.148e-005, 0.82202
20, 1, 1, 19.7827, 0.907407, 7.73059e-005, 0.889017
10, 1, 1, 9.95699, 0.834463, 7.14823e-005, 0.822046
20, 1, 1, 19.7926, 0.90745, 7.73094e-005, 0.889059
10, 1, 1, 9.95872, 0.834489, 7.14843e-005, 0.82207
20, 1, 1, 19.8001, 0.907483, 7.73121e-005, 0.88909
10, 1, 1, 9.96035, 0.834513, 7.14863e-005, 0.822093
20, 1, 1, 19.8088, 0.907521, 7.73153e-005, 0.889126
10, 1, 1, 9.96189, 0.834536, 7.14882e-005, 0.822114
20, 1, 1, 19.8169, 0.907556, 7.73183e-005, 0.88916
10, 1, 1, 9.96334, 0.834558, 7.14899e-005, 0.822134
20, 1, 1, 19.8246, 0.907589, 7.7321e-005, 0.889192
10, 1, 1, 9.9647, 0.834578, 7.14916e-005, 0.822153
20, 1, 1, 19.8317, 0.907621, 7.73236e-005, 0.889222
10, 1, 1, 9.96599, 0.834598, 7.14931e-005, 0.822171
20, 1, 1, 19.8385, 0.90765, 7.73261e-005, 0.88925
10, 1, 1, 9.96722, 0.834616, 7.14946e-005, 0.822188
20, 1, 1, 19.8448, 0.907677, 7.73284e-005, 0.889276
10, 1, 1, 9.96837, 0.834633, 7.1496e-005, 0.822204
20, 1, 1, 19.8508, 0.907703, 7.73305e-005, 0.889301
10, 1, 1, 9.96947, 0.83465, 7.14973e-005, 0.822219
20, 1, 1, 19.8564, 0.907728, 7.73325e-005, 0.889324
10, 1, 1, 9.97051, 0.834665, 7.14986e-005, 0.822233
20, 1, 1, 19.8618, 0.907751, 7.73345e-005, 0.889346
10, 1, 1, 9.9715, 0.83468, 7.14997e-005, 0.822247
20, 1, 1, 19.8668, 0.907772, 7.73363e-005, 0.889367
10, 1, 1, 9.97244, 0.834694, 7.15009e-005, 0.82226
20, 1, 1, 19.8716, 0.907793, 7.7338e-005, 0.889387
10, 1, 1, 9.97333, 0.834707, 7.15019e-005, 0.822272
20, 1, 1, 19.8761, 0.907812, 7.73396e-005, 0.889406
10, 1, 1, 9.97418, 0.83472, 7.1503e-005, 0.822284
20, 1, 1, 19.8804, 0.907831, 7.73412e-005, 0.889423
10, 1, 1, 9.975, 0.834732, 7.15039e-005, 0.822295
20, 1, 1, 19.8844, 0.907848, 7.73426e-005, 0.88944
10, 1, 1, 9.97577, 0.834744, 7.15049e-005, 0.822306
20, 1, 1, 19.8883, 0.907865, 7.7344e-005, 0.889456
10, 1, 1, 9.97651, 0.834755, 7.15058e-005, 0.822316
20, 1, 1, 19.8919, 0.907881, 7.73453e-005, 0.889471
10, 1, 1, 9.97721, 0.834765, 7.15066e-005, 0.822326
20, 1, 1, 19.8954, 0.907896, 7.73466e-005, 0.889486
10, 1, 1, 9.97789, 0.834775, 7.15074e-005, 0.822335
20, 1, 1, 19.8988, 0.90791, 7.73478e-005, 0.889499
10, 1, 1, 9.97853, 0.834785, 7.15082e-005, 0.822344
20, 1, 1, 19.9019, 0.907924, 7.73489e-005, 0.889512
10, 1, 1, 9.97915, 0.834794, 7.15089e-005, 0.822353
20, 1, 1, 19.9049, 0.907937, 7.735e-005, 0.889525
10, 1, 1, 9.97974, 0.834803, 7.15096e-005, 0.822361
20, 1, 1, 19.9078, 0.907949, 7.7351e-005, 0.889537
10, 1, 1, 9.9803, 0.834811, 7.15103e-005, 0.822369
20, 1, 1, 19.9106, 0.907961, 7.7352e-005, 0.889548
10, 1, 1, 9.98084, 0.834819, 7.1511e-005, 0.822376
20, 1, 1, 19.9132, 0.907973, 7.7353e-005, 0.889559
10, 1, 1, 9.98136, 0.834827, 7.15116e-005, 0.822383
20, 1, 1, 19.9157, 0.907983, 7.73539e-005, 0.889569
10, 1, 1, 9.98186, 0.834835, 7.15122e-005, 0.82239
20, 1, 1, 19.9181, 0.907994, 7.73547e-005, 0.889579
10, 1, 1, 9.98234, 0.834842, 7.15128e-005, 0.822397
20, 1, 1, 19.9204, 0.908004, 7.73556e-005, 0.889589
10, 1, 1, 9.9828, 0.834849, 7.15133e-005, 0.822403
20, 1, 1, 19.9226, 0.908013, 7.73563e-005, 0.889598
10, 1, 1, 9.98325, 0.834855, 7.15139e-005, 0.822409
20, 1, 1, 19.9248, 0.908022, 7.73571e-005, 0.889607
10, 1, 1, 9.98367, 0.834862, 7.15144e-005, 0.822415
20, 1, 1, 19.9268, 0.908031, 7.73578e-005, 0.889615
10, 1, 1, 9.98408, 0.834868, 7.15149e-005, 0.822421
20, 1, 1, 19.9287, 0.908039, 7.73585e-005, 0.889623
10, 1, 1, 9.98448, 0.834874, 7.15153e-005, 0.822426
20, 1, 1, 19.9306, 0.908047, 7.73592e-005, 0.889631
10, 1, 1, 9.98486, 0.834879, 7.15158e-005, 0.822432
20, 1, 1, 19.9324, 0.908055, 7.73598e-005, 0.889638
10, 1, 1, 9.98522, 0.834885, 7.15162e-005, 0.822437
20, 1, 1, 19.9341, 0.908063, 7.73605e-005, 0.889645
10, 1, 1, 9.98558, 0.83489, 7.15167e-005, 0.822442
20, 1, 1, 19.9358, 0.90807, 7.73611e-005, 0.889652
10, 1, 1, 9.98592, 0.834895, 7.15171e-005, 0.822446
20, 1, 1, 19.9374, 0.908077, 7.73616e-005, 0.889659
10, 1, 1, 9.98625, 0.8349, 7.15175e-005, 0.822451
20, 1, 1, 19.939, 0.908083, 7.73622e-005, 0.889665
10, 1, 1, 9.98656, 0.834905, 7.15178e-005, 0.822455
20, 1, 1, 19.9404, 0.90809, 7.73627e-005, 0.889671
10, 1, 1, 9.98687, 0.834909, 7.15182e-005, 0.822459
20, 1, 1, 19.9419, 0.908096, 7.73632e-005, 0.889677
10, 1, 1, 9.98717, 0.834914, 7.15186e-005, 0.822463
20, 1, 1, 19.9433, 0.908102, 7.73637e-005, 0.889683
10, 1, 1, 9.98745, 0.834918, 7.15189e-005, 0.822467
20, 1, 1, 19.9446, 0.908107, 7.73642e-005, 0.889688
10, 1, 1, 9.98773, 0.834922, 7.15192e-005, 0.822471
20, 1, 1, 19.9459, 0.908113, 7.73647e-005, 0.889694
10, 1, 1, 9.988, 0.834926, 7.15196e-005, 0.822475
20, 1, 1, 19.9471, 0.908118, 7.73651e-005, 0.889699
10, 1, 1, 9.98826, 0.83493, 7.15199e-005, 0.822478
20, 1, 1, 19.9483, 0.908123, 7.73655e-005, 0.889704
10, 1, 1, 9.98851, 0.834934, 7.15202e-005, 0.822482
20, 1, 1, 19.9495, 0.908128, 7.7366e-005, 0.889708
10, 1, 1, 9.98875, 0.834937, 7.15205e-005, 0.822485
20, 1, 1, 19.9506, 0.908133, 7.73664e-005, 0.889713
10, 1, 1, 9.98898, 0.834941, 7.15207e-005, 0.822489
20, 1, 1, 19.9517, 0.908138, 7.73667e-005, 0.889718
10, 1, 1, 9.98921, 0.834944, 7.1521e-005, 0.822492
20, 1, 1, 19.9527, 0.908142, 7.73671e-005, 0.889722
10, 1, 1, 9.98943, 0.834947, 7.15213e-005, 0.822495
20, 1, 1, 19.9538, 0.908147, 7.73675e-005, 0.889726
10, 1, 1, 9.98965, 0.834951, 7.15215e-005, 0.822498
20, 1, 1, 19.9547, 0.908151, 7.73678e-005, 0.88973
10, 1, 1, 9.98985, 0.834954, 7.15218e-005, 0.822501
20, 1, 1, 19.9557, 0.908155, 7.73682e-005, 0.889734
10, 1, 1, 9.99006, 0.834957, 7.1522e-005, 0.822503
20, 1, 1, 19.9566, 0.908159, 7.73685e-005, 0.889738
10, 1, 1, 9.99025, 0.83496, 7.15223e-005, 0.822506
20, 1, 1, 19.9575, 0.908163, 7.73688e-005, 0.889741
10, 1, 1, 9.99044, 0.834962, 7.15225e-005, 0.822509
20, 1, 1, 19.9584, 0.908167, 7.73691e-005, 0.889745
10, 1, 1, 9.99063, 0.834965, 7.15227e-005, 0.822511
20, 1, 1, 19.9592, 0.90817, 7.73694e-005, 0.889748
10, 1, 1, 9.99081, 0.834968, 7.15229e-005, 0.822514
20, 1, 1, 19.96, 0.908174, 7.73697e-005, 0.889752
10, 1, 1, 9.99098, 0.83497, 7.15231e-005, 0.822516
20, 1, 1, 19.9608, 0.908177, 7.737e-005, 0.889755
10, 1, 1, 9.99115, 0.834973, 7.15233e-005, 0.822518
20, 1, 1, 19.9616, 0.90818, 7.73703e-005, 0.889758
10, 1, 1, 9.99131, 0.834975, 7.15235e-005, 0.822521
20, 1, 1, 19.9623, 0.908183, 7.73705e-005, 0.889761
10, 1, 1, 9.99147, 0.834978, 7.15237e-005, 0.822523
20, 1, 1, 19.963, 0.908187, 7.73708e-005, 0.889764
10, 1, 1, 9.99163, 0.83498, 7.15239e-005, 0.822525
20, 1, 1, 19.9638, 0.90819, 7.7371e-005, 0.889767
10, 1, 1, 9.99178, 0.834982, 7.15241e-005, 0.822527
20, 1, 1, 19.9644, 0.908193, 7.73713e-005, 0.88977
10, 1, 1, 9.99193, 0.834985, 7.15243e-005, 0.822529
20, 1, 1, 19.9651, 0.908195, 7.73715e-005, 0.889773
10, 1, 1, 9.99207, 0.834987, 7.15244e-005, 0.822531
20, 1, 1, 19.9657, 0.908198, 7.73718e-005, 0.889775
10, 1, 1, 9.99221, 0.834989, 7.15246e-005, 0.822533
20, 1, 1, 19.9664, 0.908201, 7.7372e-005, 0.889778
10, 1, 1, 9.99234, 0.834991, 7.15248e-005, 0.822535
20, 1, 1, 19.967, 0.908203, 7.73722e-005, 0.88978
10, 1, 1, 9.99248, 0.834993, 7.15249e-005, 0.822537
20, 1, 1, 19.9676, 0.908206, 7.73724e-005, 0.889783
10, 1, 1, 9.99261, 0.834995, 7.15251e-005, 0.822538
20, 1, 1, 19.9682, 0.908208, 7.73726e-005, 0.889785
10, 1, 1, 9.99273, 0.834996, 7.15252e-005, 0.82254
20, 1, 1, 19.9687, 0.908211, 7.73728e-005, 0.889787
10, 1, 1, 9.99285, 0.834998, 7.15254e-005, 0.822542
20, 1, 1, 19.9693, 0.908213, 7.7373e-005, 0.88979
10, 1, 1, 9.99297, 0.835, 7.15255e-005, 0.822543
20, 1, 1, 19.9698, 0.908215, 7.73732e-005, 0.889792
10, 1, 1, 9.99309, 0.835002, 7.15257e-005, 0.822545
20, 1, 1, 19.9703, 0.908218, 7.73734e-005, 0.889794
10, 1, 1, 9.9932, 0.835004, 7.15258e-005, 0.822547
20, 1, 1, 19.9708, 0.90822, 7.73736e-005, 0.889796
10, 1, 1, 9.99331, 0.835005, 7.15259e-005, 0.822548
20, 1, 1, 19.9713, 0.908222, 7.73737e-005, 0.889798
10, 1, 1, 9.99342, 0.835007, 7.15261e-005, 0.82255
20, 1, 1, 19.9718, 0.908224, 7.73739e-005, 0.8898
10, 1, 1, 9.99353, 0.835008, 7.15262e-005, 0.822551
20, 1, 1, 19.9723, 0.908226, 7.73741e-005, 0.889802
10, 1, 1, 9.99363, 0.83501, 7.15263e-005, 0.822553
20, 1, 1, 19.9727, 0.908228, 7.73742e-005, 0.889804
10, 1, 1, 9.99373, 0.835011, 7.15264e-005, 0.822554
20, 1, 1, 19.9732, 0.90823, 7.73744e-005, 0.889806
10, 1, 1, 9.99383, 0.835013, 7.15265e-005, 0.822555
20, 1, 1, 19.9736, 0.908232, 7.73746e-005, 0.889807
10, 1, 1, 9.99393, 0.835014, 7.15267e-005, 0.822557
20, 1, 1, 19.974, 0.908234, 7.73747e-005, 0.889809
10, 1, 1, 9.99402, 0.835016, 7.15268e-005, 0.822558
20, 1, 1, 19.9744, 0.908235, 7.73749e-005, 0.889811
10, 1, 1, 9.99411, 0.835017, 7.15269e-005, 0.822559
20, 1, 1, 19.9748, 0.908237, 7.7375e-005, 0.889813
10, 1, 1, 9.9942, 0.835018, 7.1527e-005, 0.82256
20, 1, 1, 19.9752, 0.908239, 7.73751e-005, 0.889814
10, 1, 1, 9.99429, 0.83502, 7.15271e-005, 0.822562
20, 1, 1, 19.9756, 0.90824, 7.73753e-005, 0.889816
10, 1, 1, 9.99437, 0.835021, 7.15272e-005, 0.822563
20, 1, 1, 19.976, 0.908242, 7.73754e-005, 0.889817
